Game_Name,Game_Author,Game_Price,Game_Genre,Game_Rating,Game_URL
Hellgineers,Johan Peitz,$3.95,Simulation,4.67 average rating from 106 total ratings,https://johanpeitz.itch.io/hellgineers
Curse of the Lich King,Johan Peitz,N/A,Adventure,4.68 average rating from 100 total ratings,https://johanpeitz.itch.io/curse-of-the-lich-king
FUZ,Jusiv,N/A,Puzzle,4.68 average rating from 98 total ratings,https://jusiv.itch.io/fuz
Coffee maker,shinpansen,N/A,Rhythm,4.70 average rating from 90 total ratings,https://shinpansen.itch.io/coffee-maker
Feed The Ducks,kittenm4ster,N/A,Platformer,4.81 average rating from 54 total ratings,https://kittenm4ster.itch.io/feed-the-ducks
Villager,partnano,N/A,Strategy,4.55 average rating from 188 total ratings,https://partnano.itch.io/villager
Porklike,Krystman,N/A,Strategy,4.57 average rating from 167 total ratings,https://krystman.itch.io/porklike
Alfonzo's Bowling Challenge,kittenm4ster,N/A,N/A,4.83 average rating from 48 total ratings,https://kittenm4ster.itch.io/abc
Birds With Guns,Yolwoocle,$2.99,Shooter,4.80 average rating from 55 total ratings,https://yolwoocle.itch.io/birds-with-guns
The Lair,Jakub Wasilewski,N/A,Action,4.60 average rating from 131 total ratings,https://krajzeg.itch.io/the-lair
Pico World Race,PAK-9,N/A,Racing,4.79 average rating from 52 total ratings,https://pak-9.itch.io/pico-world-race
8 Legs to Love,ayla~nonsense,N/A,N/A,4.73 average rating from 66 total ratings,https://aylanonsense.itch.io/8-legs-to-love
Cab Ride,Powersaurus,N/A,Simulation,4.68 average rating from 79 total ratings,https://powersaurus.itch.io/cab-ride
pico sonic,komehara,N/A,Platformer,4.63 average rating from 100 total ratings,https://komehara.itch.io/pico-sonic
Into Ruins,SPARSE//GameDev,N/A,Role Playing,4.76 average rating from 51 total ratings,https://sparsegamedev.itch.io/into-ruins
Kalikan,LouieChapm,$5,Action,4.83 average rating from 36 total ratings,https://louiechapm.itch.io/kalikan
Pico Checkmate,Krystman,N/A,Strategy,4.62 average rating from 90 total ratings,https://krystman.itch.io/pico-checkmate
Flags For Friends,brook.p8,N/A,N/A,4.66 average rating from 74 total ratings,https://gamedevbrook.itch.io/flags-for-friends
Pakpok,st33d,N/A,Platformer,4.92 average rating from 25 total ratings,https://st33d.itch.io/pakpok
WitchCraft TD,unikotoast,N/A,Strategy,4.69 average rating from 62 total ratings,https://unikotoast.itch.io/witchcraft-td
Demon Castle,Mush,N/A,Action,4.69 average rating from 61 total ratings,https://mush101.itch.io/demon-castle
SUPER CRANE,CalixJumio,$5,Puzzle,4.72 average rating from 53 total ratings,https://calixjumio.itch.io/super-crane
Virtua Racing Demake,freds72,N/A,Racing,4.63 average rating from 78 total ratings,https://freds72.itch.io/virtua-racing
Low Mem Sky,Paul Nicholas (Liquidream),N/A,Action,4.62 average rating from 74 total ratings,https://liquidream.itch.io/low-mem-sky-jam-version
Foreverred,taco360,N/A,Platformer,4.83 average rating from 29 total ratings,https://taco360.itch.io/foreverred
Pullfrog,[AFK] Mario Carballo,$2,Platformer,4.57 average rating from 88 total ratings,https://afk-mario.itch.io/pullfrog
PICOMIN,GunTurtle,N/A,Strategy,4.85 average rating from 26 total ratings,https://gunturtle.itch.io/picomin
Picokaiju,spoike,N/A,Action,4.82 average rating from 28 total ratings,https://spoike.itch.io/picokaiju
Sybil's Tail,sol,N/A,Platformer,4.87 average rating from 23 total ratings,https://sol-foxie.itch.io/sybils-tail
OLDEN PEAK,abhimonk,N/A,Action,4.80 average rating from 30 total ratings,https://abhimonk.itch.io/olden-peak
Pip!,rare,N/A,Platformer,4.63 average rating from 62 total ratings,https://rarelikeaunicorn.itch.io/pip
Aeronaut,Munro,$3,Simulation,4.75 average rating from 36 total ratings,https://munro.itch.io/aeronaut
Cherry Bomb,Krystman,$3.50,Shooter,4.84 average rating from 25 total ratings,https://krystman.itch.io/cherrybomb
Chiki's Chefs,giacomopc,N/A,Rhythm,4.84 average rating from 25 total ratings,https://giacomopc.itch.io/chikis-chefs
Not A Creature Was Stirring...,kittenm4ster,N/A,N/A,5.00 average rating from 14 total ratings,https://kittenm4ster.itch.io/not-a-creature-was-stirring
Sneaky Stealy,Ironchest Games,N/A,N/A,4.81 average rating from 27 total ratings,https://ironchestgames.itch.io/sneaky-stealy
Air Delivery,pianoman373,N/A,Adventure,4.86 average rating from 22 total ratings,https://pianoman373.itch.io/air-delivery
Breakout Hero,Krystman,N/A,Action,4.65 average rating from 52 total ratings,https://krystman.itch.io/breakout-hero
Galactic Wars,Volcano Bytes,2€,Shooter,4.51 average rating from 104 total ratings,https://volcanobytes.itch.io/galactic-wars
Steps,Ahmed Khalifa (Amidos),N/A,Adventure,4.83 average rating from 24 total ratings,https://amidos2006.itch.io/steps
Dodge,Artridge,N/A,Action,4.83 average rating from 24 total ratings,https://artridge.itch.io/dodge
Rolly,Davbo,N/A,Platformer,5.00 average rating from 13 total ratings,https://davbo.itch.io/rolly
Pico Dino,Yolwoocle,N/A,Platformer,5.00 average rating from 13 total ratings,https://yolwoocle.itch.io/pico-dino
Willo,Haunt Pun,N/A,Action,4.69 average rating from 42 total ratings,https://hauntpun.itch.io/willo
Starjump,Luca Harris,N/A,Action,4.94 average rating from 16 total ratings,https://lucatron.itch.io/starjump
snow!,freds72,N/A,Sports,4.54 average rating from 83 total ratings,https://freds72.itch.io/snow
HAKAI,Freezydev,$3,Fighting,4.74 average rating from 34 total ratings,https://freezydev.itch.io/hakai
Sokosoko,juner,N/A,Puzzle,4.86 average rating from 21 total ratings,https://juner.itch.io/sokosoko
Gar's Den,Rémy 🍬 Devaux,N/A,Adventure,4.70 average rating from 37 total ratings,https://trasevol-dog.itch.io/gars-den
Astra And The New Constellation,rare,$4.99,Platformer,5.00 average rating from 12 total ratings,https://rarelikeaunicorn.itch.io/astra
R-Type,TheRoboz,N/A,Shooter,5.00 average rating from 12 total ratings,https://theroboz.itch.io/r-type
Terra - A Terraria Demake,cubee,N/A,Action,4.59 average rating from 59 total ratings,https://cubeegames.itch.io/terra-a-terraria-demake
Picopicotron,Johan Peitz,N/A,Simulation,4.85 average rating from 20 total ratings,https://johanpeitz.itch.io/picopicotron
Pigments🍎,PUNKCAKE Délicieux 🥞,$6,Action,4.85 average rating from 20 total ratings,https://punkcake.itch.io/pigments
Trial of the Sorcerer,Tom Mulgrew,N/A,Shooter,4.85 average rating from 20 total ratings,https://tommulgrew.itch.io/trial-of-the-sorcerer
Summer Carnival '22: CrossGunr DX,Aktane,N/A,Shooter,4.85 average rating from 20 total ratings,https://aktanedev.itch.io/crossgunr
The Lost Night,[AFK] Mario Carballo,$2,Role Playing,4.57 average rating from 65 total ratings,https://afk-mario.itch.io/the-lost-night
Paisley Princess,01010111,N/A,N/A,4.64 average rating from 47 total ratings,https://01010111.itch.io/paisley-princess
Alone in Pico,NuSan,N/A,Adventure,4.63 average rating from 48 total ratings,https://nusan.itch.io/alone-in-pico
"Slimey, Jump!",Carlos Pedroso,N/A,Platformer,4.77 average rating from 26 total ratings,https://carlospedroso.itch.io/slimey-jump
Cross,juner,N/A,Puzzle,4.73 average rating from 30 total ratings,https://juner.itch.io/cross
Flooded caves,NuSan,N/A,Puzzle,4.51 average rating from 82 total ratings,https://nusan.itch.io/flooded-caves
ISLANDER,Carson K.,N/A,Survival,4.56 average rating from 62 total ratings,https://carsonk.itch.io/islander
Pico Racer,kometbomb,N/A,Racing,4.51 average rating from 80 total ratings,https://kometbomb.itch.io/pico-racer
Sanki,Krystman,N/A,Action,4.56 average rating from 66 total ratings,https://krystman.itch.io/sanki
Lava Joe,Paranoid Cactus,N/A,Platformer,4.93 average rating from 14 total ratings,https://paranoidcactus.itch.io/lava-joe
The.Green.Legion,GuerraGames,N/A,Shooter,4.57 average rating from 60 total ratings,https://guerragames.itch.io/thegreenlegion
SPEEDCAT,Fletch,N/A,Platformer,4.81 average rating from 21 total ratings,https://fletchmakesstuff.itch.io/speedcat
Super Disc Box,Farbs,N/A,Action,4.57 average rating from 58 total ratings,https://farbs.itch.io/super-disc-box
Pushamo,brook.p8,$4.99,Puzzle,4.62 average rating from 45 total ratings,https://gamedevbrook.itch.io/pushamo
Winterwood,Jusiv,N/A,Adventure,4.76 average rating from 25 total ratings,https://jusiv.itch.io/winterwood
Pyramid of Flames,Paranoid Cactus,N/A,Platformer,4.63 average rating from 43 total ratings,https://paranoidcactus.itch.io/pyramid-of-flames
Masters of the Universe,TheRoboz,N/A,Fighting,4.69 average rating from 32 total ratings,https://theroboz.itch.io/motu
PUTRID S4ND,abhimonk,N/A,Shooter,4.69 average rating from 32 total ratings,https://abhimonk.itch.io/putrid-s4nd
Embrace,Rémy 🍬 Devaux,$2,Simulation,4.47 average rating from 91 total ratings,https://trasevol-dog.itch.io/embrace
Heat Death,gate,N/A,Action,4.92 average rating from 13 total ratings,https://gate.itch.io/heat-death
Freezing Knights,tinyevilwizard,N/A,Role Playing,5.00 average rating from 10 total ratings,https://tinyevilwizard.itch.io/freezing-knights
in spring the wind passing by plays the harmonica for me,deimos,N/A,N/A,5.00 average rating from 10 total ratings,https://deimosly.itch.io/spring
PICO-8: Simple Animation Explanation,MBoffin,N/A,Simulation,5.00 average rating from 10 total ratings,https://mboffin.itch.io/pico8-simple-animation
Catleste,Heidy Motta,N/A,Platformer,5.00 average rating from 10 total ratings,https://heidymotta.itch.io/catlest
Pico8 Scramble,MinionSoft,N/A,Shooter,5.00 average rating from 10 total ratings,https://minionsoft.itch.io/scramble
Cards of the Bog,abhimonk,N/A,Card Game,4.80 average rating from 20 total ratings,https://abhimonk.itch.io/cards-of-the-bog
Signed by ’89,Tim Knauf,N/A,Simulation,4.71 average rating from 28 total ratings,https://timknauf.itch.io/signed-by-89
MOTION⚫︎REC,DonutsHunter,N/A,Platformer,4.73 average rating from 26 total ratings,https://donutshunter.itch.io/motionrec
Medusa VN,PrincessChooChoo,N/A,Visual Novel,4.77 average rating from 22 total ratings,https://princesschoochoo.itch.io/medusa-vn
Pico Room4Joy,Fáyer🔥,N/A,Puzzle,4.75 average rating from 24 total ratings,https://fayer.itch.io/joy-friends
Get Comfortable,McLean,N/A,N/A,4.55 average rating from 56 total ratings,https://mcccclean.itch.io/get-comfortable
piCOLUMNS,Extar,$3,Puzzle,4.87 average rating from 15 total ratings,https://extar.itch.io/picolumns
Alpine Alpaca,Johan Peitz,N/A,Card Game,4.57 average rating from 49 total ratings,https://johanpeitz.itch.io/alpine-alpaca
The Invincible Run-Gun-Bot,GuerraGames,N/A,Action,4.69 average rating from 29 total ratings,https://guerragames.itch.io/run-gun-bot
Tsunomaki Janken! - Boss Battle,Numa,N/A,Strategy,4.65 average rating from 34 total ratings,https://numachitamanegi.itch.io/tsunomaki-janken
Shroomchitect 🍄,PUNKCAKE Délicieux 🥞,$6,Simulation,4.79 average rating from 19 total ratings,https://punkcake.itch.io/shroomchitect
Solar Blaster: Challenge Stage,GS.Games,N/A,Shooter,4.76 average rating from 21 total ratings,https://gsgames.itch.io/solar-blaster-challenge-stage
Frog King,Pixel Panda,N/A,Platformer,4.60 average rating from 42 total ratings,https://pixpnd.itch.io/frog-king
The Loss Levels,danhett,N/A,N/A,4.60 average rating from 40 total ratings,https://danhett.itch.io/the-loss-levels
Star Anise Chronicles: Oh No Wheres Twig??,eevee,N/A,Platformer,4.68 average rating from 28 total ratings,https://eevee.itch.io/anise-wheres-twig
Lands Of Yocta,Rémy 🍬 Devaux,N/A,N/A,4.68 average rating from 28 total ratings,https://trasevol-dog.itch.io/lands-of-yocta
Control the Body,gate,N/A,Platformer,4.86 average rating from 14 total ratings,https://gate.itch.io/control-the-body
Dragon's Playground,Extar,$3,Action,4.86 average rating from 14 total ratings,https://extar.itch.io/dragons-playground
P.Craft,NuSan,N/A,Adventure,4.28 average rating from 211 total ratings,https://nusan.itch.io/pcraft
GET OUT of this Dungeon,Insanus,N/A,Platformer,4.33 average rating from 154 total ratings,https://insanus.itch.io/get-out
Return of the SLIMEPIRES!,Sophie Houlden,N/A,Platformer,4.53 average rating from 53 total ratings,https://sophieh.itch.io/return-of-the-slimepires
Mushroom Mountain,John Saba,$3,Puzzle,4.78 average rating from 18 total ratings,https://sabajt.itch.io/mushroom-mountain
INGESTE,EX.ULT VIDEOTAINMENT,N/A,Platformer,4.59 average rating from 39 total ratings,https://exult.itch.io/ingeste
Attack on the Deathstar,freds72,N/A,Simulation,4.57 average rating from 42 total ratings,https://freds72.itch.io/attack-on-the-deathstar
Ma Puzzle,egordorichev,N/A,Puzzle,4.70 average rating from 23 total ratings,https://egordorichev.itch.io/ma-puzzle
Manbomber,Fresh-D,N/A,Action,4.85 average rating from 13 total ratings,https://fresh-d.itch.io/manbomber
Shelled Shinobi,magu,N/A,Platformer,4.55 average rating from 44 total ratings,https://magu.itch.io/shelled-shinobi
DeFacto,NuSan,N/A,Simulation,4.46 average rating from 68 total ratings,https://nusan.itch.io/defacto
Kid Bludd's Treacherous Tower,Matt Hughson (NES Dev),N/A,Platformer,4.64 average rating from 28 total ratings,https://mhughson.itch.io/kid-bludds-treacherous-tower
MYRRH'S EDGE,ThatTomHall,N/A,Action,4.80 average rating from 15 total ratings,https://thattomhall.itch.io/myrrhs-edge
Pico Snail!: Dream Castle,floofinator,N/A,Platformer,4.55 average rating from 42 total ratings,https://floofinator.itch.io/pico-snail
Brutal Pico Race,yourykiki,N/A,Racing,4.59 average rating from 34 total ratings,https://yourykiki.itch.io/brutal-pico-race
ZEPTON,REZ,N/A,Shooter,4.44 average rating from 68 total ratings,https://chiptune.itch.io/zepton
Rhythm Frog,giacomopc,N/A,Rhythm,4.90 average rating from 10 total ratings,https://giacomopc.itch.io/rhythm-frog
why not frog: portals,wmgcat,N/A,Platformer,4.90 average rating from 10 total ratings,https://wmgcat.itch.io/why-not-frog-portals
TRITRIS ORANGE,q1,N/A,Puzzle,4.90 average rating from 10 total ratings,https://frogmen.itch.io/tritris-orange
Pond Squid,Noh,N/A,Role Playing,4.90 average rating from 10 total ratings,https://noh-kinda.itch.io/pond-squid
Nuklear Klone,freds72,N/A,Action,4.90 average rating from 10 total ratings,https://freds72.itch.io/nuklear-klone
TRITRIS ORANGE,q1,N/A,Puzzle,4.90 average rating from 10 total ratings,https://frogmen.itch.io/tritris-orange
せつBUN,mabbees,N/A,N/A,4.90 average rating from 10 total ratings,https://mabbees.itch.io/setsubun
X-Zero,Paranoid Cactus,N/A,Platformer,4.42 average rating from 74 total ratings,https://paranoidcactus.itch.io/x-zero
NETTY,tesselode,N/A,Action,4.68 average rating from 22 total ratings,https://tesselode.itch.io/netty
Picamor,dinoware,N/A,Action,4.51 average rating from 45 total ratings,https://dinoware-games.itch.io/picamor
Tiny Platformer (Pico-8 Example Code),2DArray,$1,Platformer,4.83 average rating from 12 total ratings,https://2darray.itch.io/tinyplatformer
Tiny Sim,freds72,N/A,Simulation,4.83 average rating from 12 total ratings,https://freds72.itch.io/tiny-sim
Storming The Grandmothership,picoter8,N/A,Shooter,4.72 average rating from 18 total ratings,https://picoter8.itch.io/grandmothership
Nebulus,carlc27843,N/A,Platformer,4.75 average rating from 16 total ratings,https://carlc27843.itch.io/nebulus
Salagander,MrMandolino,N/A,Puzzle,4.79 average rating from 14 total ratings,https://mrmandolino.itch.io/salagander
Mystic Realm Dizzy,Sophie Houlden,N/A,Adventure,4.79 average rating from 14 total ratings,https://sophieh.itch.io/mystic-realm-dizzy
molecules,pocketfruit,N/A,Puzzle,4.61 average rating from 28 total ratings,https://pocketfruit.itch.io/molecules
Pinballvania!,GuerraGames,N/A,Action,4.54 average rating from 37 total ratings,https://guerragames.itch.io/pinballvania
Secret Santa,Paul Nicholas (Liquidream),N/A,Platformer,4.67 average rating from 21 total ratings,https://liquidream.itch.io/secret-santa
Pumpking,Sophie Houlden,N/A,N/A,4.35 average rating from 91 total ratings,https://sophieh.itch.io/pumpking
Store Galore,Munro,N/A,Simulation,4.63 average rating from 24 total ratings,https://munro.itch.io/store-galore
skulldude,GuerraGames,N/A,Shooter,4.51 average rating from 39 total ratings,https://guerragames.itch.io/skulldude
GHOSTS IN THE GARDEN,npckc,N/A,Puzzle,4.44 average rating from 54 total ratings,https://npckc.itch.io/ghosts-in-the-garden
Mouse Wants Cheese,pancelor,N/A,Puzzle,4.71 average rating from 17 total ratings,https://pancelor.itch.io/mouse-wants-cheese
Upward,pocketfruit,N/A,Platformer,4.35 average rating from 89 total ratings,https://pocketfruit.itch.io/upward
Matchy Matchy,iLKke,N/A,Puzzle,4.73 average rating from 15 total ratings,https://ilkke.itch.io/matchy-matchy
Oh High!,Elastiskalinjen,2€,Platformer,4.73 average rating from 15 total ratings,https://elastiskalinjen.itch.io/oh-high
Göf,egordorichev,N/A,N/A,4.73 average rating from 15 total ratings,https://egordorichev.itch.io/gof
DUNGEON!,deklaswas,N/A,Platformer,4.82 average rating from 11 total ratings,https://deklaswas.itch.io/dungeon
Polar Panic,Johan Peitz,N/A,Action,4.82 average rating from 11 total ratings,https://johanpeitz.itch.io/polar-panic
Slime Bubble Bro,GuerraGames,N/A,Platformer,4.77 average rating from 13 total ratings,https://guerragames.itch.io/slimebubblebro
Don't Shit Your Pants: PICO-8 Edition,PrincessChooChoo,N/A,Adventure,4.77 average rating from 13 total ratings,https://princesschoochoo.itch.io/dont-shit-your-pants-pico-8-edition
Buns: Bunny survivor,unikotoast,N/A,Action,4.57 average rating from 28 total ratings,https://unikotoast.itch.io/buns-bunny-survivor
Solais (LD46),DragonXVI,N/A,Platformer,4.65 average rating from 20 total ratings,https://dragonxvi.itch.io/solais-ld46
Delunky - Endless Descent,Johan Peitz,N/A,Platformer,4.45 average rating from 49 total ratings,https://johanpeitz.itch.io/delunky-endless-descent
Dungeon Solitaire,Mush,N/A,Card Game,4.33 average rating from 91 total ratings,https://mush101.itch.io/dungeon-solitaire
Bouncy Blob,NuSan,N/A,Platformer,4.61 average rating from 23 total ratings,https://nusan.itch.io/bouncy-blob
GRiPPY​,ivysly,$1,Platformer,4.69 average rating from 16 total ratings,https://ivysly.itch.io/grippy
Vyperspace,iLKke,N/A,Strategy,4.58 average rating from 24 total ratings,https://ilkke.itch.io/vyperspace
They Started It,fistfulofsquid,N/A,Shooter,4.56 average rating from 27 total ratings,https://fistfulofsquid.itch.io/they-started-it
LOCKEY - Zana's Tale,Reineke,N/A,Puzzle,4.71 average rating from 14 total ratings,https://reineke.itch.io/lockey
Acceler 8,Bright Moth Games,N/A,Racing,4.71 average rating from 14 total ratings,https://brightmothgames.itch.io/acceler-8
Little Space Rangers,tmirobot,N/A,Platformer,4.71 average rating from 14 total ratings,https://tmirobot.itch.io/little-space-rangers
Bubble Bobble,pahammond,N/A,Platformer,4.75 average rating from 12 total ratings,https://pahammond.itch.io/bubble-bobble
There be Treasure!,Munro,N/A,Puzzle,4.75 average rating from 12 total ratings,https://munro.itch.io/there-be-treasure
Lina: Witches Of The Moon,Achie,$1.50,Action,4.80 average rating from 10 total ratings,https://achie.itch.io/lina-witches-of-the-moon
Thunder Bella the Cloud Chaser,Evil Paper,N/A,Action,4.52 average rating from 31 total ratings,https://evilpaper.itch.io/thunder-bella-the-cloud-chaser
Metrash,st33d,N/A,Shooter,4.59 average rating from 22 total ratings,https://st33d.itch.io/metrash
The Spooky House,SPOOKYSOFT,N/A,Adventure,4.59 average rating from 22 total ratings,https://spookysoft.itch.io/the-spooky-house
Munro's Tweetcarts,Munro,N/A,N/A,5.00 average rating from 9 total ratings,https://munro.itch.io/tweetcarts
Shazabi & the Cantina Catacombs,AndiDev,N/A,Puzzle,5.00 average rating from 9 total ratings,https://andi-dev.itch.io/cantina-catacombs
Moon Patrol,pahammond,N/A,Shooter,5.00 average rating from 9 total ratings,https://pahammond.itch.io/moon-patrol
Beckon the Hellspawn,LokiStriker,$2,Action,5.00 average rating from 9 total ratings,https://lokistriker.itch.io/bth
Tutankham,pahammond,N/A,N/A,5.00 average rating from 9 total ratings,https://pahammond.itch.io/tutankham
Messages,Jusiv,N/A,Interactive Fiction,4.65 average rating from 17 total ratings,https://jusiv.itch.io/messages
Eyeboss,BlueCandleGames,N/A,Shooter,4.52 average rating from 29 total ratings,https://bluecandlegames.itch.io/eyeboss
Pico Pirates,Craig Tinney,N/A,Adventure,4.60 average rating from 20 total ratings,https://ctinney94.itch.io/pico-pirates
Spaceman 8,Tic Tac Toad,N/A,Action,4.67 average rating from 15 total ratings,https://tictactoad.itch.io/spaceman8
Claw,juner,N/A,Puzzle,4.67 average rating from 15 total ratings,https://juner.itch.io/claw
Scrap Boy,BoneVolt,N/A,Platformer,4.61 average rating from 18 total ratings,https://bonevolt.itch.io/scrap-boy
SH4DE,abhimonk,N/A,Strategy,4.69 average rating from 13 total ratings,https://abhimonk.itch.io/sh4de
BuzzKill,Brian Vaughn / MorningToast,N/A,Shooter,4.69 average rating from 13 total ratings,https://morningtoast.itch.io/buzzkill
commute,Sean,N/A,Role Playing,4.69 average rating from 13 total ratings,https://seansleblanc.itch.io/commute
Saxophight,cekent,N/A,Action,4.54 average rating from 24 total ratings,https://cekent.itch.io/saxophight
Pico Monsters,spelltop,N/A,Adventure,4.46 average rating from 35 total ratings,https://spelltop.itch.io/pico-monsters
Pumpkin Slasher,Robin Six,N/A,Action,4.73 average rating from 11 total ratings,https://sixrobin.itch.io/pumpkinslasher
Eternal Danmaku Uchusen Challenge,TaTooKa,N/A,Shooter,4.73 average rating from 11 total ratings,https://tatooka.itch.io/danmaku-uchusen
Brawl,CodeManu,N/A,Action,4.73 average rating from 11 total ratings,https://codemanu.itch.io/brawl
A Hat on Time,eggnog,N/A,Platformer,4.29 average rating from 78 total ratings,https://eggnog.itch.io/a-hat-on-time
picoRacer 2048,Impbox Games,N/A,Sports,4.52 average rating from 25 total ratings,https://impbox.itch.io/picoracer2048
Pico Tennis,Paranoid Cactus,N/A,Sports,4.39 average rating from 46 total ratings,https://paranoidcactus.itch.io/pico-tennis
Li'l Rumble,DragonXVI,N/A,Action,4.55 average rating from 22 total ratings,https://dragonxvi.itch.io/lil-rumble
Hungry Harry 3D,Paloblancogames,N/A,Platformer,4.48 average rating from 29 total ratings,https://paloblancogames.itch.io/hungry-harry-3d
Curse of Greed: ULTIMATE,Sophie Houlden,N/A,Platformer,4.40 average rating from 43 total ratings,https://sophieh.itch.io/curse-of-greed
CATFISH,krystalcoconut,N/A,Sports,4.64 average rating from 14 total ratings,https://krystalcoconut.itch.io/catfish
Trails,pocketfruit,$1.99,Puzzle,4.64 average rating from 14 total ratings,https://pocketfruit.itch.io/trails
4 GIGA BOSS FIGHTS,GuerraGames,N/A,Shooter,4.52 average rating from 23 total ratings,https://guerragames.itch.io/4gigabossfights
Milt,egordorichev,N/A,Puzzle,4.59 average rating from 17 total ratings,https://egordorichev.itch.io/milt
Keineged an nor,Anto80,N/A,Adventure,4.50 average rating from 24 total ratings,https://anto80.itch.io/keineged-an-nor
BUSHFIRE,Cubehamster,N/A,Platformer,4.67 average rating from 12 total ratings,https://cubehamster.itch.io/bushfire
Omega Enforcer X,fartenko,N/A,Action,4.46 average rating from 28 total ratings,https://vbrydik.itch.io/omega-enforcer-x
Tiny Golf Puzzles,Beep Yeah!,$3.99,Puzzle,4.60 average rating from 15 total ratings,https://beepyeah.itch.io/tiny-golf-puzzles
Flowers for Time,arkicade,N/A,Strategy,4.60 average rating from 15 total ratings,https://arkicade.itch.io/flowers-for-time
Old Site,Amegpo,N/A,Platformer,4.60 average rating from 15 total ratings,https://amegpo.itch.io/old-site
One Room Dungeon,Rémy 🍬 Devaux,N/A,Action,4.56 average rating from 18 total ratings,https://trasevol-dog.itch.io/one-room-dungeon
pikoralli,nothke,N/A,Racing,4.70 average rating from 10 total ratings,https://nothke.itch.io/pikoralli
JLIM,egordorichev,N/A,Action,4.70 average rating from 10 total ratings,https://egordorichev.itch.io/jlim
Lil' King,Beep Yeah!,$1.99,Action,4.70 average rating from 10 total ratings,https://beepyeah.itch.io/lil-king
DATA RESTORED,Sweaters,N/A,Platformer,4.62 average rating from 13 total ratings,https://sweaters.itch.io/datarestored
Terry the Turtle's Big Adventure,Mush,N/A,Platformer,4.62 average rating from 13 total ratings,https://mush101.itch.io/terry-the-turtles-big-adventure
Picowars,Lambdanaut,N/A,Strategy,4.56 average rating from 16 total ratings,https://lambdanaut.itch.io/picowars
Evolings [Game Jam Version],Sørb,N/A,Strategy,4.50 average rating from 20 total ratings,https://soerbgames.itch.io/evolings-gamejam
Lil' Satan's Cake Quest,GuerraGames,N/A,Platformer,4.50 average rating from 20 total ratings,https://guerragames.itch.io/lilsatancakequest
